Date;Para;Codigo;Rollos;Metros
29/10/24;Para Fabrica;Sijia - Purple 18oz Fabric;1;50
30/10/24;Para Fabrica;Dropstich 20cm;1;60
04/11/24;Para Fabrica;Sijia - Azul/Naranja;5;193
04/11/24;Para Fabrica;Sijia - Grey 18oz Fabric;2;100
06/11/24;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
06/11/24;Para Fabrica;Sijia - Orange 18oz Fabric;1;50
08/11/24;Para Fabrica;Sijia - White 18oz Fabric;1;56
19/11/24;Para Fabrica;Sijia - Green 18oz Fabric;1;50
20/11/24;Para Fabrica;Sijia - Azul/Naranja;2;100
20/11/24;Para Fabrica;Sijia - Cyan 18oz Fabric;2;100
02/12/24;Para Fabrica;Mesh Negro;3;150
02/12/24;Para Fabrica;Sijia - Black 18oz Fabric;1;50
02/12/24;Para Fabrica;Sijia - Green 18oz Fabric;3;150
02/12/24;Para Fabrica;Sijia - Purple 18oz Fabric;2;100
02/12/24;Para Fabrica;Sijia - White 18oz Fabric;1;50
02/12/24;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
03/12/24;Para Fabrica;Dropstich 20cm;1;33
13/12/24;Para Fabrica;Dropstich 20cm;1;60
16/12/24;Para Venta;Sijia - White 18oz Fabric;10;500
18/12/24;Para Venta;Sijia - Orange 18oz Fabric;1;50
19/12/24;Para Fabrica;Mesh Negro;2;100
19/12/24;Para Fabrica;Sijia - Azul/Naranja;4;135
19/12/24;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
19/12/24;Para Fabrica;Sijia - Yellow Az Slide Fabric;1;50
20/12/24;Para Fabrica;Sijia - 1500D;1;50
20/12/24;Para Fabrica;Sijia - Black 18oz Fabric;1;50
20/12/24;Para Fabrica;Sijia - Green 18oz Fabric;1;50
20/12/24;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
21/01/25;Para Fabrica;Sijia - Azul/Naranja;4;198
21/01/25;Para Fabrica;Sijia - Gris/Blanco;2;100
28/01/25;Para Fabrica;Mesh Negro;3;150
28/01/25;Para Fabrica;Sijia - 1500D;3;150
28/01/25;Para Fabrica;Sijia - Azul/Naranja;3;150
28/01/25;Para Fabrica;Sijia - Cyan 18oz Fabric;2;100
28/01/25;Para Fabrica;Sijia - Green 18oz Fabric;1;50
28/01/25;Para Fabrica;Sijia - Orange 18oz Fabric;1;50
28/01/25;Para Fabrica;Sijia - Purple 18oz Fabric;2;100
28/01/25;Para Fabrica;Sijia - Red 18oz Fabric;1;50
28/01/25;Para Fabrica;Sijia - White 18oz Fabric;1;50
28/01/25;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
05/02/25;Para Venta;Sijia - Blue 18oz Fabric;2;100
07/02/25;Para Fabrica;Dropstich 20cm;1;60
14/02/25;Para Fabrica;Sijia - 1500D;2;100
14/02/25;Para Fabrica;Sijia - Azul/Naranja;2;100
19/02/25;Para Fabrica;Sijia - Azul/Naranja;2;100
19/02/25;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
24/02/25;Para Fabrica;Sijia - Azul/Naranja;2;83
26/02/25;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
